Youtube ID,Start secs,End secs,Positive labels,,,,,,,
-aC8TJIZrtE,20.000,30.000,/m/015p6,/m/020bb7,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,
0eK_cwwvWAs,50.000,60.000,/m/025rv6n,/m/07qwf61,/m/07st89h,/m/09b5t,,,,
2BdcZFwYkr4,530.000,540.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
3VbItC7nDQs,0.000,10.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
3YpDove6j8Q,30.000,40.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
3jI4LBLRUd0,30.000,40.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
5k6EjPymsRc,350.000,360.000,/m/015p6,/m/01rd7k,/m/020bb7,/m/025rv6n,/m/07pggtn,/m/07qn5dc,/m/07svc2k,/m/09b5t
6Cm1iI8re0Y,50.000,60.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
6KbBcOZL7FM,0.000,10.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
6PoiNnbAfz4,5.000,15.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
84zchlYA-8A,0.000,10.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
8mgRjPyCf1E,30.000,40.000,/m/025rv6n,/m/07st89h,/m/09b5t,,,,,
B3CwXuvzvHI,17.000,27.000,/m/015p6,/m/020bb7,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,
BOjDttEtfGI,550.000,560.000,/m/025rv6n,/m/07st89h,/m/09b5t,,,,,
BZ2uzpTWQto,30.000,40.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
CMsVGRaDvHM,0.000,10.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
CzXulSbFWPU,160.000,170.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
EQ6qW27Y7O4,20.000,30.000,/m/025rv6n,/m/07st89h,/m/09b5t,,,,,
FBTeyQFupeE,50.000,60.000,/m/025rv6n,/m/07st89h,/m/09b5t,,,,,
Fb_hLZnMOCY,250.000,260.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
G3aZ_x7eTXA,7.000,17.000,/m/025rv6n,/m/07st89h,/m/09b5t,,,,,
Ga74s_1zxDk,6.000,16.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
Giig8ACsMFY,19.000,29.000,/m/025rv6n,/m/07st89h,/m/09b5t,,,,,
HOHa7-KGWkE,110.000,120.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
Hs3mz14j-44,30.000,40.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
IAXl7VjxHAM,10.000,20.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
Ixdb4zm5U9Q,20.000,30.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
IysIaxwoJHw,140.000,150.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
KXKzUFOKqIE,90.000,100.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
KjiYMI76dts,30.000,40.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
KlJl281Jwp4,200.000,210.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
LEtLDfICskk,30.000,40.000,/m/025rv6n,/m/07st89h,/m/09b5t,,,,,
MOV9rXOes3k,30.000,40.000,/m/015p6,/m/020bb7,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,
MjQ0cPtfmug,5.000,15.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
NPsgLUX3EOs,470.000,480.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
NhhnpmQ4cCc,380.000,390.000,/m/015p6,/m/07sx8x_,/m/09b5t,,,,,
OLsy4ISTNmY,100.000,110.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
P9keWnQjNJY,20.000,30.000,/m/01rd7k,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/07svc2k,/m/09b5t,,
QS0ijXZn3lM,10.000,20.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
Rac4MJXAfbU,14.000,24.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
Ug9_JfcBVt8,6.000,16.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
V2lnBxdPtBo,100.000,110.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
VCRuyLRBna4,30.000,40.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
W-ZrB0-P7GU,30.000,40.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
W8IOz3qRU_0,0.000,2.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
WyWE44m1TtA,23.000,33.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
YsDoJJvwXv0,300.000,310.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
_N2ivE-O5r8,30.000,40.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
bGfOjHKVX5A,210.000,220.000,/m/015y_n,/m/04rlf,/m/09b5t,/m/09x0r,,,,
btH_xGqRsbg,0.000,10.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
buocKMDcyMM,230.000,240.000,/m/025rv6n,/m/07st89h,/m/09b5t,,,,,
cebvNZn2obM,170.000,180.000,/m/025rv6n,/m/07st89h,/m/09b5t,,,,,
cmW5jaOIdKg,30.000,40.000,/m/025rv6n,/m/07st89h,/m/09b5t,,,,,
dKcAHQS7-98,180.000,190.000,/m/025rv6n,/m/07st89h,/m/09b5t,/m/0dbvp,,,,
dwTBAxizdjY,570.000,580.000,/m/025rv6n,/m/04rlf,/m/09b5t,/m/09ddx,/m/09x0r,/t/dd00129,,
eVL8ZE32jCI,490.000,500.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
fqC3qK22QZg,180.000,190.000,/m/015p6,/m/01rd7k,/m/020bb7,/m/025rv6n,/m/07pggtn,/m/07qn5dc,/m/07st89h,/m/09b5t
g6Xh92LGG6s,10.000,20.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
gwwvvcEPm9M,0.000,7.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
h3DVqb55DRQ,20.000,30.000,/m/025rv6n,/m/05_wcq,/m/07st89h,/m/09b5t,,,,
hshd6rXcF6w,70.000,80.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
hzAKfbYwI9A,20.000,30.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
iAQk_vQ3XI8,200.000,210.000,/m/015p6,/m/09b5t,/m/09x0r,/t/dd00088,,,,
k4JrZQfpLt4,410.000,420.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
kop1p3bRbNI,10.000,20.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
ky48d3dPjuE,10.000,20.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
mBv7fHPICxo,0.000,10.000,/m/025rv6n,/m/07st89h,/m/09b5t,,,,,
p7ViHIrHVrU,0.000,10.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
pd1CH9ukqEw,130.000,140.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
qCpjWKLWUVQ,250.000,260.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
qSsPwWlWVG8,20.000,30.000,/m/025rv6n,/m/07st89h,/m/09b5t,,,,,
rdTuCS_E6nQ,60.000,70.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
roN_B9VVH0w,90.000,100.000,/m/015p6,/m/09b5t,/m/09ddx,/m/09x0r,/m/0jbk,,,
rwReDDvDDPM,40.000,50.000,/m/025rv6n,/m/07st89h,/m/09b5t,/m/0dbvp,,,,
rzT6b2ZhZfk,10.000,20.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
sdDFu-mI7hs,90.000,100.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
vyJN0snQW-w,30.000,40.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
x3j3wYkBR0M,90.000,100.000,/m/025rv6n,/m/07st89h,/m/09b5t,,,,,
x4kCQrCjJOI,250.000,260.000,/m/025rv6n,/m/07qn5dc,/m/07qwf61,/m/09b5t,/m/0dbvp,,,
z4Y3WrjItlA,310.000,320.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
zSaPTW8gLbg,150.000,160.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
ztajHhW3zvQ,390.000,400.000,/m/025rv6n,/m/07qn5dc,/m/09b5t,,,,,
-aC8TJIZrtE,20.000,30.000,/m/015p6,/m/020bb7,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,
0eK_cwwvWAs,50.000,60.000,/m/025rv6n,/m/07qwf61,/m/07st89h,/m/09b5t,,,,
3VbItC7nDQs,0.000,10.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
3YpDove6j8Q,30.000,40.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
6Cm1iI8re0Y,50.000,60.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
6KbBcOZL7FM,0.000,10.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
6PoiNnbAfz4,5.000,15.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
84zchlYA-8A,0.000,10.000,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,
8mgRjPyCf1E,30.000,40.000,/m/025rv6n,/m/07st89h,/m/09b5t,,,,,
B3CwXuvzvHI,17.000,27.000,/m/015p6,/m/020bb7,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,
