YouTube ID, start seconds, label, train/test split
-1QUpHlvDM4,0,chicken crowing,train
-26kjr5MxSI,0,chicken clucking,train
-3ihfHTdJSI,110,chicken crowing,train
-405Ksmbra8,19,chicken clucking,train
-A3cOSeUcLM,30,chicken crowing,train
-D3xojFH4Us,10,chicken clucking,train
-DR4c2yfNLY,20,chicken clucking,train
-F8f2UKJSSE,40,chicken crowing,train
-FLEmLBKkNg,10,chicken crowing,train
-FgIPY7IO8k,15,chicken crowing,train
-Glsd1Kxlvg,30,chicken crowing,train
-HxQ9AoyRmY,30,chicken clucking,train
-JJmkQYZA-4,20,chicken crowing,test
-JflnolHaIw,60,chicken crowing,train
-U3oyhpebSs,50,chicken crowing,train
-eEwPklE5Ro,0,chicken clucking,train
-fjZl2oKZMc,32,chicken clucking,train
-gp5kXfvW5I,340,chicken crowing,train
-liObUHIFrs,30,chicken crowing,train
-pLNYFSIves,30,chicken crowing,train
-raITF50hN0,180,chicken crowing,train
-uvVa3z00rw,10,chicken crowing,train
00SPuXJ0ri0,77,chicken crowing,train
02UahUjIv5A,24,chicken crowing,train
07tE4aqjZuE,30,chicken crowing,train
0C0ep4Z_FpU,30,chicken clucking,train
0E5iHTLtYWg,26,chicken crowing,train
0F0YvdKcUu0,40,chicken crowing,train
0F0YvdKcUu0,60,chicken crowing,train
0G0tdsD5MFo,300,chicken crowing,train
0GHQO8k2htg,0,chicken crowing,train
0LcEgY3DouU,140,chicken clucking,train
0OyYHsYnpPw,20,chicken clucking,train
0RKgmvzhBA4,40,chicken clucking,test
0Rpw7o2B0UQ,2,chicken crowing,train
0TBt0al3ITY,30,chicken crowing,train
0U6ebFYFPjk,30,chicken crowing,train
0YLUmiMFWx4,19,chicken crowing,train
0_I6B2Z0rE4,54,chicken crowing,train
0b568XeApIs,90,chicken clucking,train
0b5pY41n1XI,3,chicken crowing,train
0b5pY41n1XI,54,chicken crowing,train
0c3075b7TJU,30,chicken crowing,train
0ddWYr_zQ1E,380,chicken crowing,train
0fL9V_y32aA,19,chicken crowing,train
0jCTBa8cSKc,30,chicken clucking,train
0qlT_eblMAU,80,chicken crowing,train
0s1uXHl5_8k,30,chicken crowing,train
0upP8cF_LY0,17,chicken crowing,train
1-T4A6yQDE0,67,chicken crowing,train
11ruZHgyTKM,30,chicken crowing,test
13k8j37ktV4,40,chicken clucking,train
14XML4NbS38,5,chicken crowing,test
16iyjFCwta4,30,chicken clucking,train
17L2VkXtcQ0,30,chicken crowing,test
19U_xEyytHI,30,chicken clucking,train
1DWjMcOqmLo,46,chicken clucking,train
1MDP9gGy2y8,0,chicken crowing,train
1R9oQMMFc24,18,chicken clucking,train
1TKMjjF35Nc,40,chicken clucking,train
1Vs2oGm_EMg,30,chicken clucking,train
1X7xYiJBaow,260,chicken crowing,train
1YVymi9pLWU,131,chicken clucking,train
1YVymi9pLWU,144,chicken clucking,train
1YYHuxqOkIk,0,chicken clucking,train
1ZLGngES_lA,189,chicken clucking,train
1aEXbyHB3_k,30,chicken clucking,train
1ba6bDbh3_E,70,chicken clucking,train
1emMgdbf-L4,1,chicken crowing,train
1gK3BmmR_GE,10,chicken crowing,train
1hR4B6xey_0,0,chicken crowing,train
1hlPvLZt9J0,5,chicken crowing,train
1izz9P5QU6k,50,chicken crowing,train
1mzgOInYKDc,30,chicken clucking,train
1nINoMsSqUY,66,chicken clucking,train
1nINoMsSqUY,122,chicken clucking,train
1qbJxEdgEZs,54,chicken clucking,test
1rmx0mnsGwA,22,chicken crowing,train
1uP4HHlb6EI,0,chicken crowing,train
1udpeTlsy8Q,30,chicken clucking,train
1yGhCQUn7GU,10,chicken crowing,train
205kuk11C70,10,chicken crowing,train
20si1MxpHO8,160,chicken clucking,train
20xaD0Tzi2M,0,chicken crowing,train
22Eih59Xsgc,30,chicken clucking,train
231-4GOUaDQ,14,chicken crowing,train
24zIS8V8GvM,10,chicken crowing,train
272KiALPCzM,23,chicken crowing,train
27SRFmETQSU,80,chicken crowing,train
27wIu9FCMJQ,27,chicken crowing,train
2Fbt9QiLWWc,370,chicken clucking,test
2NSwEQdx8sM,30,chicken crowing,train
2OLXoKxJ1qg,30,chicken crowing,train
2PmVDfbqGmE,110,chicken clucking,train
2UGCVA6U4Lc,130,chicken crowing,train
2Vb0HX5P7gM,1,chicken crowing,train
2bVaT-vgZo4,52,chicken crowing,train
2baznhAyEsg,14,chicken crowing,train
2cgbCHAx5iM,30,chicken clucking,train
2dNpVU8CouE,30,chicken clucking,train
2ew_E4ivlC8,130,chicken clucking,train
2flwkjD4mPQ,31,chicken crowing,train
2lYHMjI3JAM,10,chicken clucking,train
2ngbRYHDfWY,25,chicken crowing,train
2o8qU45AuBg,150,chicken crowing,train
2pzZbll4J14,57,chicken crowing,train
2qVII2EZbF4,0,chicken clucking,train
2rV3x4vpi8g,50,chicken crowing,train
2yUkySlo0nE,200,chicken crowing,train
2yizo9_ZWyw,4,chicken clucking,train
2zev5MpJKPc,39,chicken clucking,train
2zev5MpJKPc,78,chicken clucking,train
30_CZ7xuI3M,19,chicken crowing,train
30_CZ7xuI3M,93,chicken crowing,train
33ppVmWuTSg,74,chicken crowing,train
354tEt_H0iY,280,chicken crowing,train
35SC81RF7S4,30,chicken clucking,train
38NMNxUSg4E,270,chicken crowing,train
38k6OKJN4Zk,12,chicken crowing,train
38k6OKJN4Zk,44,chicken crowing,train
3EE5WKQMBek,30,chicken crowing,test
3G3zJM0y638,30,chicken clucking,train
3GsN3KGKatQ,0,chicken clucking,train
3JJA7x6WQVc,160,chicken crowing,train
